year,month,value,date
1897,12,-0.57,189712
1898,1,0.22,189801
1898,2,-0.7,189802
1898,3,-1.69,189803
1898,4,-0.57,189804
1898,5,-0.46,189805
1898,6,-0.15,189806
1898,7,-0.24,189807
1898,8,-0.17,189808
1898,9,-0.26,189809
1898,10,-0.69,189810
1898,11,-0.51,189811
1898,12,0.17,189812
1899,1,-0.12,189901
1899,2,-0.74,189902
1899,3,-0.67,189903
1899,4,-0.08,189904
1899,5,-0.23,189905
1899,6,-0.49,189906
1899,7,-0.27,189907
1899,8,-0.24,189908
1899,9,0.02,189909
1899,10,-0.05,189910
1899,11,0.6,189911
1899,12,-0.67,189912
1900,1,-1.15,190001
1900,2,-0.35,190002
1900,3,-0.03,190003
1900,4,-0.28,190004
1900,5,0.02,190005
1900,6,-0.01,190006
1900,7,-0.15,190007
1900,8,-0.02,190008
1900,9,-0.09,190009
1900,10,0.25,190010
1900,11,-0.37,190011
1900,12,0.12,190012
1901,1,-0.43,190101
1901,2,-0.31,190102
1901,3,0.2,190103
1901,4,0.09,190104
1901,5,-0.1,190105
1901,6,0.07,190106
1901,7,0.05,190107
1901,8,-0.02,190108
1901,9,-0.16,190109
1901,10,-0.5,190110
1901,11,-0.13,190111
1901,12,-0.45,190112
1902,1,0.2,190201
1902,2,0.4,190202
1902,3,-0.25,190203
1902,4,-0.54,190204
1902,5,-0.34,190205
1902,6,-0.27,190206
1902,7,-0.22,190207
1902,8,-0.3,190208
1902,9,-0.27,190209
1902,10,-0.5,190210
1902,11,-0.72,190211
1902,12,-0.83,190212
1903,1,-0.19,190301
1903,2,0.29,190302
1903,3,-0.27,190303
1903,4,-0.49,190304
1903,5,-0.55,190305
1903,6,-0.48,190306
1903,7,-0.41,190307
1903,8,-0.37,190308
1903,9,-0.42,190309
1903,10,-0.67,190310
1903,11,-0.57,190311
1903,12,-0.66,190312
1904,1,-0.97,190401
1904,2,-0.71,190402
1904,3,-0.81,190403
1904,4,-0.62,190404
1904,5,-0.33,190405
1904,6,-0.36,190406
1904,7,-0.5,190407
1904,8,-0.35,190408
1904,9,-0.53,190409
1904,10,-0.56,190410
1904,11,0.32,190411
1904,12,-0.15,190412
1905,1,-0.33,190501
1905,2,-1.36,190502
1905,3,-0.76,190503
1905,4,-0.78,190504
1905,5,-0.3,190505
1905,6,-0.26,190506
1905,7,-0.21,190507
1905,8,-0.19,190508
1905,9,-0.18,190509
1905,10,-0.32,190510
1905,11,0.19,190511
1905,12,0.03,190512
1906,1,-0.29,190601
1906,2,-0.67,190602
1906,3,-0.34,190603
1906,4,0.18,190604
1906,5,0,190605
1906,6,0.02,190606
1906,7,-0.19,190607
1906,8,-0.2,190608
1906,9,-0.26,190609
1906,10,-0.26,190610
1906,11,-0.55,190611
1906,12,0.1,190612
1907,1,-0.7,190701
1907,2,-0.92,190702
1907,3,-0.57,190703
1907,4,-0.82,190704
1907,5,-0.93,190705
1907,6,-0.68,190706
1907,7,-0.49,190707
1907,8,-0.42,190708
1907,9,-0.39,190709
1907,10,-0.29,190710
1907,11,-0.86,190711
1907,12,-0.67,190712
1908,1,-0.35,190801
1908,2,-0.46,190802
1908,3,-1.06,190803
1908,4,-0.61,190804
1908,5,-0.27,190805
1908,6,-0.3,190806
1908,7,-0.22,190807
1908,8,-0.45,190808
1908,9,-0.18,190809
1908,10,-0.56,190810
1908,11,-0.68,190811
1908,12,-0.4,190812
1909,1,-0.99,190901
1909,2,-0.53,190902
1909,3,-0.69,190903
1909,4,-0.95,190904
1909,5,-0.67,190905
1909,6,-0.46,190906
1909,7,-0.39,190907
1909,8,-0.14,190908
1909,9,-0.21,190909
1909,10,-0.22,190910
1909,11,0.21,190911
1909,12,-0.29,190912
1910,1,-0.19,191001
1910,2,-0.38,191002
1910,3,-0.58,191003
1910,4,-0.25,191004
1910,5,-0.26,191005
1910,6,-0.25,191006
1910,7,-0.06,191007
1910,8,-0.2,191008
1910,9,-0.34,191009
1910,10,-0.49,191010
1910,11,-0.62,191011
1910,12,-0.83,191012
1911,1,-0.81,191101
1911,2,-0.76,191102
1911,3,-0.88,191103
1911,4,-0.6,191104
1911,5,-0.5,191105
1911,6,-0.45,191106
1911,7,-0.4,191107
1911,8,-0.4,191108
1911,9,-0.4,191109
1911,10,-0.3,191110
1911,11,-0.2,191111
1911,12,-0.28,191112
1912,1,-0.44,191201
1912,2,-0.05,191202
1912,3,-0.82,191203
1912,4,-0.32,191204
1912,5,-0.17,191205
1912,6,-0.13,191206
1912,7,-0.54,191207
1912,8,-0.67,191208
1912,9,-0.77,191209
1912,10,-0.95,191210
1912,11,-0.52,191211
1912,12,-0.53,191212
1913,1,-0.5,191301
1913,2,-0.8,191302
1913,3,-0.78,191303
1913,4,-0.39,191304
1913,5,-0.56,191305
1913,6,-0.43,191306
1913,7,-0.2,191307
1913,8,-0.12,191308
1913,9,-0.28,191309
1913,10,-0.34,191310
1913,11,0.13,191311
1913,12,0.47,191312
1914,1,0.81,191401
1914,2,0.06,191402
1914,3,-0.18,191403
1914,4,-0.3,191404
1914,5,0.06,191405
1914,6,-0.01,191406
1914,7,-0.24,191407
1914,8,-0.29,191408
1914,9,-0.2,191409
